sbu_cd,store_num,invoice_date,day_date,c445_wk_num,c445_prd_num,c445_qtr_num,c445_yr_num,total_pos,total_pos_taxes
CTR,212,06/07/2021,06/07/2021,23,6,2,2021,1453.63,1526.32
CTR,212,06/10/2021,06/10/2021,23,6,2,2021,1654.79,1737.52
CTR,212,06/16/2021,06/16/2021,24,6,2,2021,2539.11,2666.07
CTR,212,06/17/2021,06/17/2021,24,6,2,2021,3300.2,3465.21
CTR,212,06/18/2021,06/18/2021,24,6,2,2021,2192.09,2301.69
CTR,212,06/21/2021,06/21/2021,25,6,2,2021,3313.59,3479.28
CTR,212,06/24/2021,06/24/2021,25,6,2,2021,4323.86,4540.06
CTR,212,06/25/2021,06/25/2021,25,6,2,2021,2981.29,3118.69
CTR,212,06/26/2021,06/26/2021,25,6,2,2021,2838.09,2979.99
CTR,212,06/27/2021,06/27/2021,26,6,2,2021,1049.49,1119.84
CTR,212,06/28/2021,06/28/2021,26,6,2,2021,4760.96,4991.65
CTR,212,06/29/2021,06/29/2021,26,6,2,2021,4260.48,4480.86
CTR,212,07/01/2021,07/01/2021,26,6,2,2021,696.94,731.79
CTR,212,07/03/2021,07/03/2021,26,6,2,2021,2202.11,2312.21
CTR,212,07/06/2021,07/06/2021,27,7,3,2021,2326.67,2443.01
CTR,212,07/07/2021,07/07/2021,27,7,3,2021,1968.07,2066.48
CTR,212,07/08/2021,07/08/2021,27,7,3,2021,3731.46,3918.04
CTR,212,07/17/2021,07/17/2021,28,7,3,2021,2480.64,2604.68
CTR,212,07/26/2021,07/26/2021,30,7,3,2021,5577.8,5856.7
CTR,212,07/28/2021,07/28/2021,30,7,3,2021,3413.94,3584.64
CTR,212,07/31/2021,07/31/2021,30,7,3,2021,4015.79,4216.6
CTR,212,08/04/2021,08/04/2021,31,8,3,2021,2795.62,2935.41
CTR,212,08/07/2021,08/07/2021,31,8,3,2021,2491.44,2616.02
CTR,212,08/08/2021,08/08/2021,32,8,3,2021,2564.89,2691.88
CTR,212,08/09/2021,08/09/2021,32,8,3,2021,3297.04,3461.9
CTR,212,08/11/2021,08/11/2021,32,8,3,2021,1604.34,1684.57
CTR,212,08/13/2021,08/13/2021,32,8,3,2021,1364.49,1432.72
CTR,212,08/17/2021,08/17/2021,33,8,3,2021,2180.18,2289.19
CTR,212,08/18/2021,08/18/2021,33,8,3,2021,5472.27,5745.89
CTR,212,08/19/2021,08/19/2021,33,8,3,2021,2308.09,2423.49
CTR,212,08/24/2021,08/24/2021,34,8,3,2021,6180.95,6490.01
CTR,212,08/26/2021,08/26/2021,34,8,3,2021,2880.19,3024.2
CTR,212,08/27/2021,08/27/2021,34,8,3,2021,1723.61,1809.8
CTR,212,08/28/2021,08/28/2021,34,8,3,2021,791.75,831.33
CTR,212,08/29/2021,08/29/2021,35,9,3,2021,2856.7,2994.82
CTR,212,08/30/2021,08/30/2021,35,9,3,2021,1656.91,1739.75
CTR,212,09/01/2021,09/01/2021,35,9,3,2021,1546.56,1623.88
CTR,212,09/02/2021,09/02/2021,35,9,3,2021,2639.14,2775.82
CTR,212,09/06/2021,09/06/2021,36,9,3,2021,1314.12,1368.44
CTR,212,09/08/2021,09/08/2021,36,9,3,2021,2033.53,2135.21
CTR,212,09/14/2021,09/14/2021,37,9,3,2021,3039.32,3191.29
CTR,212,09/15/2021,09/15/2021,37,9,3,2021,245.77,258.06
CTR,212,09/16/2021,09/16/2021,37,9,3,2021,2338.31,2455.23
CTR,212,09/17/2021,09/17/2021,37,9,3,2021,1747.55,1834.92
CTR,212,09/18/2021,09/18/2021,37,9,3,2021,2460.66,2572.89
CTR,212,09/19/2021,09/19/2021,38,9,3,2021,939.39,986.37
CTR,212,09/21/2021,09/21/2021,38,9,3,2021,1819.14,1927.86
CTR,212,09/22/2021,09/22/2021,38,9,3,2021,1137.23,1204.9
CTR,212,09/24/2021,09/24/2021,38,9,3,2021,3285.68,3489.96
CTR,212,09/26/2021,09/26/2021,39,9,3,2021,4149.36,4356.84
CTR,212,09/29/2021,09/29/2021,39,9,3,2021,1216.21,1277.03
CTR,212,09/30/2021,09/30/2021,39,9,3,2021,4727.03,4963.4
CTR,212,10/02/2021,10/02/2021,39,9,3,2021,4983.08,5232.23
CTR,212,10/03/2021,10/03/2021,40,10,4,2021,589.52,619
CTR,212,10/04/2021,10/04/2021,40,10,4,2021,2321.03,2437.07
CTR,212,10/08/2021,10/08/2021,40,10,4,2021,3804.97,3995.23
CTR,212,10/09/2021,10/09/2021,40,10,4,2021,3179.39,3338.37
CTR,212,10/10/2021,10/10/2021,41,10,4,2021,2108.83,2214.28
CTR,212,10/12/2021,10/12/2021,41,10,4,2021,3198.72,3358.66
CTR,212,10/16/2021,10/16/2021,41,10,4,2021,3856.03,4048.84
CTR,212,10/21/2021,10/21/2021,42,10,4,2021,4134.41,4341.14
CTR,212,10/22/2021,10/22/2021,42,10,4,2021,2917.7,3063.58
CTR,212,10/24/2021,10/24/2021,43,10,4,2021,1193.65,1253.33
CTR,212,10/25/2021,10/25/2021,43,10,4,2021,4338.2,4555.11
CTR,212,10/28/2021,10/28/2021,43,10,4,2021,3455.91,3628.71
CTR,212,10/30/2021,10/30/2021,43,10,4,2021,1086.01,1214.85
CTR,212,11/01/2021,11/01/2021,44,11,4,2021,6213.02,6503.73
CTR,212,11/02/2021,11/02/2021,44,11,4,2021,4174.13,4382.84
CTR,212,11/03/2021,11/03/2021,44,11,4,2021,1062.71,1135.79
CTR,212,11/04/2021,11/04/2021,44,11,4,2021,3575.84,3713.48
